"","datadate","WB","BABA","BZUN","XPEV","BEST","BILI","RUHN","SPY","GRPN"
"1",2019-12-03,-0.0155927539555147,-0.00718251744689524,-0.0176718092566619,.,-0.016722408026756,-0.04192992533027,-0.114084507042253,-0.00670645616737253,0
"2",2019-12-04,-0.0025623107384114,-0.00595177013853254,-0.00828098229583119,.,-0.0374149659863945,-0.0155875299760191,0.0174880763116059,0.00617024713293479,0.0339285714285715
"3",2019-12-05,0.024287716020551,0.0323113451016825,0.0169881946443997,.,0.0194346289752649,0.0322777101096223,-0.00624999999999998,0.00179798368971928,0.0155440414507773
"4",2019-12-06,0.00706794345645245,0.00944999999999996,-0.000849377123442796,.,0.0190641247833623,0.0129793510324485,-0.0251572327044025,0.0091340298698801,0.0034013605442178
"5",2019-12-09,-0.00905592030790126,-0.0156025558472435,-0.0286200056673278,.,-0.0221088435374149,-0.0104834012813048,-0.00322580645161297,-0.00314415473052376,-0.00677966101694916
"6",2019-12-10,-0.0198766278272791,0.00860420650095595,0.0326721120186697,.,-0.0226086956521739,-0.00176574455562084,0,-0.00111507582515613,0.0102389078498293
"7",2019-12-11,0.000233100233100192,0.0209029683212771,-0.00819209039548019,.,0.0177935943060497,0.0341981132075471,-0.0145631067961165,0.00283864382993659,-0.0709459459459459
"8",2019-12-12,0.0146818923327896,-0.000684128225175828,0.00370264881800075,.,-0.0541958041958042,0.0114025085518814,-0.0344827586206896,0.0086190445900387,-0.0109090909090909
"9",2019-12-13,-0.000229673863114344,0.00200488997555004,-0.00709421112372299,.,0.0147874306839186,0.00901916572717032,-0.052721088435374,0.000599123387885037,-0.0404411764705883
"10",2019-12-16,0.0323914541695383,0.0100531940852082,-0.0351529008288084,.,0.0127504553734061,0.00335195530726273,-0.00718132854578102,0.00687003655615781,0.00766283524904221
"11",2019-12-17,0.00912327547841585,0.00584625791177462,0.00770142180094813,.,0.0197841726618706,-0.00612472160356348,-0.00723327305605792,0.000219092331768422,-0.0912547528517109
"12",2019-12-18,0.0165380374862183,0.00874243443174172,-0.0070546737213405,.,-0.0352733686067019,-0.00896358543417364,-0.0309653916211293,6.25840973806913e-05,0
"13",2019-12-19,0.00368763557483742,0.000619047619047519,0.0171699230313795,.,-0.00914076782449724,0.0197851893725267,-0.0451127819548872,0.00409900184611534,-0.0481171548117155
"14",2019-12-20,-0.000432245515452845,0.0100889925284349,-0.019208381839348,.,0,-0.00554323725055417,0.220472440944882,-0.000529760049859607,-0.0197802197802197
"15",2019-12-23,0.0188108108108107,0.0121554770318022,-0.0320474777448073,.,0.00184501845018437,0.0267558528428093,-0.0806451612903226,0.00152776478658057,0.0134529147982061
"16",2019-12-24,0.0019100169779287,-0.00265326071777694,0.0226854690374005,.,-0.011049723756906,0.001085776330076,0.0175438596491226,3.11313118734891e-05,0.0353982300884956
"17",2019-12-26,0.0118618936665962,0.00989452067581453,0.0122901678657075,.,0.0167597765363128,-0.00542299349240793,0.193103448275862,0.00532328860940745,0.00427350427350448
"18",2019-12-27,-0.0146535482520411,-0.00420556428505403,-0.0130293159609122,.,0.0512820512820513,-0.00545256270447114,0.0057803468208093,-0.000247724035424501,-0.00851063829787235
"19",2019-12-30,-0.0155088166560441,-0.0118810043161461,-0.000300030003000273,.,-0.00348432055749137,0.0115131578947369,0.0043103448275863,-0.00551322554667666,0.0128755364806865
"20",2019-12-31,0.000215796288303816,-0.0038044244046781,-0.00600240096038429,.,-0.027972027972028,0.00921409214092139,0.0028612303290414,0.00242930110875794,0.0127118644067798
"21",2020-01-02,0.101618122977346,0.0361621876473361,0.079106280193237,.,0.0575539568345325,0.125134264232009,0.238231098430813,0.00935189212701171,-0.0104602510460251
"22",2020-01-03,-0.018213866039953,-0.0126040860900032,-0.0260212646894236,.,0,0.0539379474940334,-0.0910138248847926,-0.00757225967309993,-0.0317124735729387
"23",2020-01-06,-0.0169559146219829,-0.00165898617511528,-0.0290146509623673,.,0.0034013605442178,0.0511775362318843,-0.112801013941698,0.00381501814459839,0.00873362445414849
"24",2020-01-07,-0.00771103896103897,0.0045697932053177,0.00798816568047345,.,0.0135593220338983,-0.00344679017664806,0.0271428571428571,-0.00281176615993073,0.0173160173160174
